time,open,high,low,close,Volume,Volume MA
1502496000,310,320,303.7,309.5001,NaN,NaN
1502582400,309.6503,310.9995,288.3,298.00001,NaN,NaN
1502668800,297.99789,306.42099,294.00093,302.70301,NaN,NaN
1502755200,302.70301,302.70301,271.001,286.65014,NaN,NaN
1502841600,286.65207,304.39,280.9,301.3945,NaN,NaN
1502928000,301.394565,307.99654,299.415,301.0925,NaN,NaN
1503014400,301.14242,305.0822125,291.4375,295.04,NaN,NaN
1503100800,295.0375,299.8498725,290.06,295.7773725,NaN,NaN
1503187200,295.7773725,299.4675,292.67,299.1474975,NaN,NaN
1503273600,298.90895,333.855,296.92,316.60998,NaN,NaN
1503360000,316.983945,322.637495,295.650865,311.1754925,NaN,NaN
1503446400,311.263845,319.44198,311.1631825,313.6287475,NaN,NaN
1503532800,313.6276475,321.6625,312.414755,319.4899975,NaN,NaN
1503619200,319.4899975,328.75246,318.9605225,323.6587675,NaN,NaN
1503705600,323.8567275,325.81875,321.4212525,324.7325,NaN,NaN
1503792000,324.7325,336.4925,324.53608,336.39,NaN,NaN
1503878400,336.39,337.9042475,327.795,336.3025,NaN,NaN
1503964800,336.355,356.394995,335.95714,354.6125,NaN,NaN
1504051200,354.6075,368.475,351.1275,363.39,NaN,NaN
1504137600,363.39,367.75,361.04,366.91075,NaN,NaN
1504224000,367.07225,372.17,366.1425,369.2415,NaN,NaN
1504310400,369.365,369.98,323.68,341.527,NaN,NaN
1504396800,341.5295,354.30975,331.3075,340.54975,NaN,NaN
1504483200,340.376,340.386,288.49,307.1275,NaN,NaN
1504569600,306.89175,320.00475,275.58,315.66,NaN,NaN
1504656000,315.6625,333.3825,315.26175,330.575,NaN,NaN
1504742400,330.5125,330.5125,318.685,327.62,NaN,NaN
1504828800,327.4625,327.6275,296.0525,307.0425,NaN,NaN
1504915200,307.0975,308.6125,296.295,303.63,NaN,NaN
1505001600,303.8225,306.165,289.445,300.9175,NaN,NaN
1505088000,300.92,307.54,292.1425,299.1075,NaN,NaN
1505174400,299.1075,313.095,291.2675,296.065,NaN,NaN
1505260800,296.1425,296.42,268.035,282.3425,NaN,NaN
1505347200,282.35,285.9275,241.585,243.2675,NaN,NaN
1505433600,243.08,275.945,226.865,270.185,NaN,NaN
1505520000,270.1825,279.345,260.8725,266.905,NaN,NaN
1505606400,266.9075,276.6275,255.845,270.185,NaN,NaN
1505692800,270.1875,301.8775,270.1825,298.935,NaN,NaN
1505779200,298.9325,300.7575,282.9525,287.595,NaN,NaN
1505865600,287.6525,295.8275,283.7475,287.6225,NaN,NaN
1505952000,287.73,290.625,264.405,269.3425,NaN,NaN
1506038400,269.3425,278.9725,266.335,273.035,NaN,NaN
1506124800,273.0325,290.375,270.2875,289.8775,NaN,NaN
1506211200,289.86,296.31,282.6025,287.765,NaN,NaN
1506297600,287.6525,297.9825,287.495,296.3025,NaN,NaN
1506384000,296.285,296.9875,290.6225,291.66,NaN,NaN
1506470400,291.685,309.85,291.4275,308.005,NaN,NaN
1506556800,307.9475,308.12,299.0125,302.35,NaN,NaN
1506643200,302.5325,303.1,284.375,294.87,NaN,NaN
1506729600,294.87,304.5625,294.705,301.75,NaN,NaN
1506816000,301.7475,303.215,296.9525,302.9025,NaN,NaN
1506902400,302.9,302.945,295.8325,297.89,NaN,NaN
1506988800,297.905,300.0525,290.8825,294.3175,NaN,NaN
1507075200,294.465,297.13,292.4825,294.36,NaN,NaN
1507161600,294.3375,298.48,291.02,296.47,NaN,NaN
1507248000,296.5075,306.2575,296.02,305.99,NaN,NaN
1507334400,306.065,310.2375,303.9425,308.8675,NaN,NaN
1507420800,308.8075,310.24,306.61,307.14,NaN,NaN
1507507200,307.14,307.3675,290.0575,297.96,NaN,NaN
1507593600,297.88,304.22,294.015,299.1075,NaN,NaN
1507680000,299.2025,303.275,298.57,302.365,NaN,NaN
1507766400,302.365,305.955,301.3175,302.24,NaN,NaN
1507852800,302.23,334.9375,299.4,327.8675,NaN,NaN
1507939200,327.8575,335.445,325.4775,328.9125,NaN,NaN
1508025600,329.285,331.365,315.7225,327.7625,NaN,NaN
1508112000,327.7075,337.8025,323.765,325.8775,NaN,NaN
1508198400,325.8725,326.19,308.49,312.8425,NaN,NaN
1508284800,313.005,313.0575,291.98,310.9625,NaN,NaN
1508371200,310.8125,313.0775,304.475,306.4625,NaN,NaN
1508457600,306.4575,309.53,301.9925,302.7475,NaN,NaN
1508544000,302.8525,302.865,294.1775,300.52,NaN,NaN
1508630400,300.5225,305.325,294.4175,296.555,NaN,NaN
1508716800,296.555,296.555,282.2775,289.8025,NaN,NaN
1508803200,289.7575,309.82,285.8175,298.425,NaN,NaN
1508889600,298.4275,301.7475,293.0175,298.01,NaN,NaN
1508976000,298.01,300.785,296.08,297.38,NaN,NaN
1509062400,297.5075,299.8775,295.0375,298.3175,NaN,NaN
1509148800,298.29,298.8675,295.225,296.605,NaN,NaN
1509235200,296.605,307.935,296.31,303.1275,NaN,NaN
1509321600,302.9625,307.6825,302.725,305.3825,NaN,NaN
1509408000,305.375,307.6825,303.265,303.27,NaN,NaN
1509494400,303.2675,304.3475,292.6325,293.32,NaN,NaN
1509580800,293.325,295.615,284.2525,289.0375,NaN,NaN
1509667200,288.9925,306.5025,288.9275,304.47,NaN,NaN
1509753600,304.5075,304.5225,298.3525,301.2575,NaN,NaN
1509840000,301.2,301.365,296.5875,297.2975,NaN,NaN
1509926400,297.3,303.8575,294.3525,298.83,NaN,NaN
1510012800,298.83,303.0675,291.5375,294.675,NaN,NaN
1510099200,294.6725,315.1625,293.605,306.365,NaN,NaN
1510185600,306.28,322.5975,305.4825,315.735,NaN,NaN
1510272000,315.6725,319.3025,294.31,299.0025,NaN,NaN
1510358400,298.78,315.5175,298.78,311.325,NaN,NaN
1510444800,311.3175,312.99,299.9,305.165,NaN,NaN
1510531200,305.1875,313.985,304.78,311.7125,NaN,NaN
1510617600,311.71,328.2275,311.25,326.8475,NaN,NaN
1510704000,326.8475,330.295,319.35,323.69,NaN,NaN
1510790400,323.9,326.3875,316.31,322.04,NaN,NaN
1510876800,322.035,326.0725,319.725,324.1675,NaN,NaN
1510963200,324.17,337.3625,320.81,335.285,NaN,NaN
1511049600,335.285,352.7175,333.0375,340.665,NaN,NaN
1511136000,340.6475,354.435,340.3675,351.24,NaN,NaN
1511222400,351.2425,354.575,338.535,346.37,NaN,NaN
1511308800,346.2575,361.3775,345.8675,361.0475,NaN,NaN
1511395200,361.0475,393.21,357.17,381,NaN,NaN
1511481600,380.9075,432.955,375.2225,427.6125,NaN,NaN
1511568000,427.6075,436,418.01,423.685,NaN,NaN
1511654400,423.685,428.6025,413.4925,427.485,NaN,NaN
1511740800,427.5375,439.725,421.0325,431.5375,NaN,NaN
1511827200,431.475,432.895,420.0275,425.07,NaN,NaN
1511913600,425.075,456.8725,390.2825,398.8075,NaN,NaN
1512000000,398.81,423.915,376.115,402.2625,NaN,NaN
1512086400,402.09,426.3375,389.0475,422.82,NaN,NaN
1512172800,422.6,428.72,413.2275,418.995,NaN,NaN
1512259200,418.7775,435.79,412.0675,423.4525,NaN,NaN
1512345600,423.44,429.705,413.615,426.17,NaN,NaN
1512432000,426.17,427.0425,415.8825,418.7675,NaN,NaN
1512518400,418.765,420.3575,389.52,393.1825,NaN,NaN
1512604800,393.55,405.8575,381.4925,391.93,NaN,NaN
1512691200,391.815,423.05,386.03,416.1,NaN,NaN
1512777600,416.11,454.73,414.895,430.5825,NaN,NaN
1512864000,430.5575,430.8625,399.8125,405.1,NaN,NaN
1512950400,405.4075,459.6525,404.4675,458.9875,NaN,NaN
1513036800,458.95,577.7325,447.735,571.6225,NaN,NaN
1513123200,571.6225,639.71,521.965,599.275,NaN,NaN
1513209600,599.525,637.1075,571.6175,597.5375,NaN,NaN
1513296000,597.5375,598.0975,537.615,589.8525,NaN,NaN
1513382400,589.86,610.8225,586.02,597.7025,NaN,NaN
1513468800,597.4375,626.3375,596.75,615.915,NaN,NaN
